fid,id,left,top,right,bottom
3789,60972,780111.0548063321,5820767.973052206,780161.0548063321,5820817.973052206
3790,60973,780111.0548063321,5820717.973052206,780161.0548063321,5820767.973052206
3791,60974,780111.0548063321,5820667.973052206,780161.0548063321,5820717.973052206
3792,60975,780111.0548063321,5820617.973052206,780161.0548063321,5820667.973052206
3793,60976,780111.0548063321,5820567.973052206,780161.0548063321,5820617.973052206
3794,60977,780111.0548063321,5820517.973052206,780161.0548063321,5820567.973052206
3795,60978,780111.0548063321,5820467.973052206,780161.0548063321,5820517.973052206
3796,60979,780111.0548063321,5820417.973052206,780161.0548063321,5820467.973052206
3797,60980,780111.0548063321,5820367.973052206,780161.0548063321,5820417.973052206
3798,60981,780111.0548063321,5820317.973052206,780161.0548063321,5820367.973052206
3799,60982,780111.0548063321,5820267.973052206,780161.0548063321,5820317.973052206
3800,60983,780111.0548063321,5820217.973052206,780161.0548063321,5820267.973052206
3801,60984,780111.0548063321,5820167.973052206,780161.0548063321,5820217.973052206
3802,60985,780111.0548063321,5820117.973052206,780161.0548063321,5820167.973052206
3803,60986,780111.0548063321,5820067.973052206,780161.0548063321,5820117.973052206
3804,60987,780111.0548063321,5820017.973052206,780161.0548063321,5820067.973052206
3805,60988,780111.0548063321,5819967.973052206,780161.0548063321,5820017.973052206
3806,60989,780111.0548063321,5819917.973052206,780161.0548063321,5819967.973052206
3807,60990,780111.0548063321,5819867.973052206,780161.0548063321,5819917.973052206
3808,60991,780111.0548063321,5819817.973052206,780161.0548063321,5819867.973052206
3809,60992,780111.0548063321,5819767.973052206,780161.0548063321,5819817.973052206
3810,60993,780111.0548063321,5819717.973052206,780161.0548063321,5819767.973052206
3811,60994,780111.0548063321,5819667.973052206,780161.0548063321,5819717.973052206
3812,60995,780111.0548063321,5819617.973052206,780161.0548063321,5819667.973052206
3813,60996,780111.0548063321,5819567.973052206,780161.0548063321,5819617.973052206
3814,60997,780111.0548063321,5819517.973052206,780161.0548063321,5819567.973052206
3815,60998,780111.0548063321,5819467.973052206,780161.0548063321,5819517.973052206
3816,60999,780111.0548063321,5819417.973052206,780161.0548063321,5819467.973052206
3817,61000,780111.0548063321,5819367.973052206,780161.0548063321,5819417.973052206
3818,61001,780111.0548063321,5819317.973052206,780161.0548063321,5819367.973052206
3819,61002,780111.0548063321,5819267.973052206,780161.0548063321,5819317.973052206
3820,61003,780111.0548063321,5819217.973052206,780161.0548063321,5819267.973052206
3821,61004,780111.0548063321,5819167.973052206,780161.0548063321,5819217.973052206
3822,61005,780111.0548063321,5819117.973052206,780161.0548063321,5819167.973052206
3823,61006,780111.0548063321,5819067.973052206,780161.0548063321,5819117.973052206
3824,61007,780111.0548063321,5819017.973052206,780161.0548063321,5819067.973052206
3825,61008,780111.0548063321,5818967.973052206,780161.0548063321,5819017.973052206
3826,61009,780111.0548063321,5818917.973052206,780161.0548063321,5818967.973052206
3827,61010,780111.0548063321,5818867.973052206,780161.0548063321,5818917.973052206
3828,61011,780111.0548063321,5818817.973052206,780161.0548063321,5818867.973052206
3829,61012,780111.0548063321,5818767.973052206,780161.0548063321,5818817.973052206
3830,61013,780111.0548063321,5818717.973052206,780161.0548063321,5818767.973052206
3831,61014,780111.0548063321,5818667.973052206,780161.0548063321,5818717.973052206
3832,61015,780111.0548063321,5818617.973052206,780161.0548063321,5818667.973052206
3833,61016,780111.0548063321,5818567.973052206,780161.0548063321,5818617.973052206
3834,61017,780111.0548063321,5818517.973052206,780161.0548063321,5818567.973052206
3835,61018,780111.0548063321,5818467.973052206,780161.0548063321,5818517.973052206
3836,61019,780111.0548063321,5818417.973052206,780161.0548063321,5818467.973052206
3837,61020,780111.0548063321,5818367.973052206,780161.0548063321,5818417.973052206
3838,61021,780111.0548063321,5818317.973052206,780161.0548063321,5818367.973052206
3839,61022,780111.0548063321,5818267.973052206,780161.0548063321,5818317.973052206
3840,61023,780111.0548063321,5818217.973052206,780161.0548063321,5818267.973052206
3841,61024,780111.0548063321,5818167.973052206,780161.0548063321,5818217.973052206
3842,61025,780111.0548063321,5818117.973052206,780161.0548063321,5818167.973052206
3843,61026,780111.0548063321,5818067.973052206,780161.0548063321,5818117.973052206
3844,61034,780111.0548063321,5817667.973052206,780161.0548063321,5817717.973052206
3845,61035,780111.0548063321,5817617.973052206,780161.0548063321,5817667.973052206
3846,61036,780111.0548063321,5817567.973052206,780161.0548063321,5817617.973052206
3847,61037,780111.0548063321,5817517.973052206,780161.0548063321,5817567.973052206
3848,61038,780111.0548063321,5817467.973052206,780161.0548063321,5817517.973052206
3849,61039,780111.0548063321,5817417.973052206,780161.0548063321,5817467.973052206
3850,61040,780111.0548063321,5817367.973052206,780161.0548063321,5817417.973052206
3851,61041,780111.0548063321,5817317.973052206,780161.0548063321,5817367.973052206
3852,61042,780111.0548063321,5817267.973052206,780161.0548063321,5817317.973052206
3853,61043,780111.0548063321,5817217.973052206,780161.0548063321,5817267.973052206
3854,61044,780111.0548063321,5817167.973052206,780161.0548063321,5817217.973052206
3855,61045,780111.0548063321,5817117.973052206,780161.0548063321,5817167.973052206
3856,61046,780111.0548063321,5817067.973052206,780161.0548063321,5817117.973052206
3857,61047,780111.0548063321,5817017.973052206,780161.0548063321,5817067.973052206
3858,61048,780111.0548063321,5816967.973052206,780161.0548063321,5817017.973052206
3859,61049,780111.0548063321,5816917.973052206,780161.0548063321,5816967.973052206
3860,61050,780111.0548063321,5816867.973052206,780161.0548063321,5816917.973052206
3861,61051,780111.0548063321,5816817.973052206,780161.0548063321,5816867.973052206
3862,61052,780111.0548063321,5816767.973052206,780161.0548063321,5816817.973052206
3863,61053,780111.0548063321,5816717.973052206,780161.0548063321,5816767.973052206
3864,61054,780111.0548063321,5816667.973052206,780161.0548063321,5816717.973052206
3865,61055,780111.0548063321,5816617.973052206,780161.0548063321,5816667.973052206
3866,61056,780111.0548063321,5816567.973052206,780161.0548063321,5816617.973052206
3867,61057,780111.0548063321,5816517.973052206,780161.0548063321,5816567.973052206
3868,61058,780111.0548063321,5816467.973052206,780161.0548063321,5816517.973052206
3869,61059,780111.0548063321,5816417.973052206,780161.0548063321,5816467.973052206
3870,61060,780111.0548063321,5816367.973052206,780161.0548063321,5816417.973052206
3871,61061,780111.0548063321,5816317.973052206,780161.0548063321,5816367.973052206
3872,61062,780111.0548063321,5816267.973052206,780161.0548063321,5816317.973052206
3873,61063,780111.0548063321,5816217.973052206,780161.0548063321,5816267.973052206
3874,61064,780111.0548063321,5816167.973052206,780161.0548063321,5816217.973052206
3875,61065,780111.0548063321,5816117.973052206,780161.0548063321,5816167.973052206
3876,61066,780111.0548063321,5816067.973052206,780161.0548063321,5816117.973052206
3877,61067,780111.0548063321,5816017.973052206,780161.0548063321,5816067.973052206
3878,61068,780111.0548063321,5815967.973052206,780161.0548063321,5816017.973052206
3879,61069,780111.0548063321,5815917.973052206,780161.0548063321,5815967.973052206
3880,61070,780111.0548063321,5815867.973052206,780161.0548063321,5815917.973052206
3881,61071,780111.0548063321,5815817.973052206,780161.0548063321,5815867.973052206
3882,61072,780111.0548063321,5815767.973052206,780161.0548063321,5815817.973052206
3883,61073,780111.0548063321,5815717.973052206,780161.0548063321,5815767.973052206
3884,61074,780111.0548063321,5815667.973052206,780161.0548063321,5815717.973052206
3885,61075,780111.0548063321,5815617.973052206,780161.0548063321,5815667.973052206
3886,61076,780111.0548063321,5815567.973052206,780161.0548063321,5815617.973052206
3887,61077,780111.0548063321,5815517.973052206,780161.0548063321,5815567.973052206
3888,61078,780111.0548063321,5815467.973052206,780161.0548063321,5815517.973052206
3889,61079,780111.0548063321,5815417.973052206,780161.0548063321,5815467.973052206
3890,61080,780111.0548063321,5815367.973052206,780161.0548063321,5815417.973052206
3891,61081,780111.0548063321,5815317.973052206,780161.0548063321,5815367.973052206
3892,61082,780111.0548063321,5815267.973052206,780161.0548063321,5815317.973052206
3893,61083,780111.0548063321,5815217.973052206,780161.0548063321,5815267.973052206
3894,61084,780111.0548063321,5815167.973052206,780161.0548063321,5815217.973052206
3895,61085,780111.0548063321,5815117.973052206,780161.0548063321,5815167.973052206
3896,61086,780111.0548063321,5815067.973052206,780161.0548063321,5815117.973052206
3897,61087,780111.0548063321,5815017.973052206,780161.0548063321,5815067.973052206
3898,61088,780111.0548063321,5814967.973052206,780161.0548063321,5815017.973052206
3899,61089,780111.0548063321,5814917.973052206,780161.0548063321,5814967.973052206
3900,61090,780111.0548063321,5814867.973052206,780161.0548063321,5814917.973052206
3901,61091,780111.0548063321,5814817.973052206,780161.0548063321,5814867.973052206
3902,61092,780111.0548063321,5814767.973052206,780161.0548063321,5814817.973052206
3903,61093,780111.0548063321,5814717.973052206,780161.0548063321,5814767.973052206
3904,61094,780111.0548063321,5814667.973052206,780161.0548063321,5814717.973052206
3905,61095,780111.0548063321,5814617.973052206,780161.0548063321,5814667.973052206
3906,61096,780111.0548063321,5814567.973052206,780161.0548063321,5814617.973052206
3907,61097,780111.0548063321,5814517.973052206,780161.0548063321,5814567.973052206
3908,61098,780111.0548063321,5814467.973052206,780161.0548063321,5814517.973052206
3909,61099,780111.0548063321,5814417.973052206,780161.0548063321,5814467.973052206
3910,61100,780111.0548063321,5814367.973052206,780161.0548063321,5814417.973052206
3911,61101,780111.0548063321,5814317.973052206,780161.0548063321,5814367.973052206
3912,61102,780111.0548063321,5814267.973052206,780161.0548063321,5814317.973052206
3913,61103,780111.0548063321,5814217.973052206,780161.0548063321,5814267.973052206
3914,61104,780111.0548063321,5814167.973052206,780161.0548063321,5814217.973052206
3915,61105,780111.0548063321,5814117.973052206,780161.0548063321,5814167.973052206
3916,61106,780111.0548063321,5814067.973052206,780161.0548063321,5814117.973052206
3917,61107,780111.0548063321,5814017.973052206,780161.0548063321,5814067.973052206
3918,61108,780111.0548063321,5813967.973052206,780161.0548063321,5814017.973052206
3919,61109,780111.0548063321,5813917.973052206,780161.0548063321,5813967.973052206
3920,61110,780111.0548063321,5813867.973052206,780161.0548063321,5813917.973052206
3921,61111,780111.0548063321,5813817.973052206,780161.0548063321,5813867.973052206
3922,61112,780111.0548063321,5813767.973052206,780161.0548063321,5813817.973052206
3923,61113,780111.0548063321,5813717.973052206,780161.0548063321,5813767.973052206
3924,61505,780161.0548063321,5834417.973052206,780211.0548063321,5834467.973052206
3925,61506,780161.0548063321,5834367.973052206,780211.0548063321,5834417.973052206
3926,61507,780161.0548063321,5834317.973052206,780211.0548063321,5834367.973052206
3927,61508,780161.0548063321,5834267.973052206,780211.0548063321,5834317.973052206
3928,61509,780161.0548063321,5834217.973052206,780211.0548063321,5834267.973052206
3929,61510,780161.0548063321,5834167.973052206,780211.0548063321,5834217.973052206
3930,61511,780161.0548063321,5834117.973052206,780211.0548063321,5834167.973052206
3931,61512,780161.0548063321,5834067.973052206,780211.0548063321,5834117.973052206
3932,61513,780161.0548063321,5834017.973052206,780211.0548063321,5834067.973052206
3933,61514,780161.0548063321,5833967.973052206,780211.0548063321,5834017.973052206
3934,61515,780161.0548063321,5833917.973052206,780211.0548063321,5833967.973052206
3935,61516,780161.0548063321,5833867.973052206,780211.0548063321,5833917.973052206
3936,61517,780161.0548063321,5833817.973052206,780211.0548063321,5833867.973052206
3937,61518,780161.0548063321,5833767.973052206,780211.0548063321,5833817.973052206
3938,61519,780161.0548063321,5833717.973052206,780211.0548063321,5833767.973052206
3939,61520,780161.0548063321,5833667.973052206,780211.0548063321,5833717.973052206
3940,61521,780161.0548063321,5833617.973052206,780211.0548063321,5833667.973052206
3941,61579,780161.0548063321,5830717.973052206,780211.0548063321,5830767.973052206
3942,61580,780161.0548063321,5830667.973052206,780211.0548063321,5830717.973052206
3943,61581,780161.0548063321,5830617.973052206,780211.0548063321,5830667.973052206
3944,61582,780161.0548063321,5830567.973052206,780211.0548063321,5830617.973052206
3945,61583,780161.0548063321,5830517.973052206,780211.0548063321,5830567.973052206
3946,61584,780161.0548063321,5830467.973052206,780211.0548063321,5830517.973052206
3947,61585,780161.0548063321,5830417.973052206,780211.0548063321,5830467.973052206
3948,61586,780161.0548063321,5830367.973052206,780211.0548063321,5830417.973052206
3949,61587,780161.0548063321,5830317.973052206,780211.0548063321,5830367.973052206
3950,61588,780161.0548063321,5830267.973052206,780211.0548063321,5830317.973052206
